Domain,Url,Url occurences,Common?
www.votehillsborough.gov,https://www.votehillsborough.gov/VOTERS/Election-Day-Voting,2,no
www.votehillsborough.gov,https://www.votehillsborough.gov/VOTERS/Vote-By-Mail,2,no
www.votehillsborough.gov,https://www.votehillsborough.gov/VOTERS/Early-Voting,2,no
www.votehillsborough.gov,https://www.votehillsborough.gov/VOTERS/Voting-Precincts,2,no
www.votehillsborough.gov,https://www.votehillsborough.gov/ELECTIONS/2024-General-Election,3,no
www.votehillsborough.gov,https://www.votehillsborough.gov/about-voting/whats-on-the-ballot,1,no
www.votehillsborough.gov,https://www.votehillsborough.gov/RESEARCH-DATA/Maps-Districts,1,no
www.votehillsborough.gov,https://www.votehillsborough.gov/,1,no
www.votehillsborough.gov,https://www.votehillsborough.gov/about-voting/election-dates-and-deadlines,1,no
www.votehillsborough.gov,https://www.votehillsborough.gov/voters/early-voting,1,no
www.ncsl.org,https://www.ncsl.org/elections-and-campaigns/early-in-person-voting,3,no
www.ncsl.org,https://www.ncsl.org/elections-and-campaigns/2024-state-primary-election-dates,2,no
www.ncsl.org,https://www.ncsl.org/resources/details/state-elections-crystal-ball-whats-on-the-horizon-for-2024,2,no
www.ncsl.org,https://www.ncsl.org/elections-and-campaigns/state-primary-election-types,2,no
www.ncsl.org,https://www.ncsl.org/elections-and-campaigns/table-18-states-with-all-mail-elections,2,no
www.ncsl.org,https://www.ncsl.org/elections-and-campaigns/voting-outside-the-polling-place,1,no
www.ncsl.org,https://www.ncsl.org/elections-and-campaigns/table-16-when-absentee-mail-ballot-processing-and-counting-can-begin,1,no
www.vote411.org,https://www.vote411.org/,2,yes
www.vote411.org,https://www.vote411.org/2024-presidential-voter-guide,1,yes
www.vote411.org,https://www.vote411.org/ballot,1,yes
www.vote411.org,https://www.vote411.org/connecticut,1,yes
www.vote411.org,https://www.vote411.org/arizona,1,yes
www.vote411.org,https://www.vote411.org/california,1,yes
www.vote411.org,https://www.vote411.org/check-registration,1,yes
www.vote411.org,https://www.vote411.org/colorado,1,yes
www.vote411.org,https://www.vote411.org/washington,1,yes
