Domain,Url,Url occurences,Common?,Domain Type
kffhealthnews.org,https://kffhealthnews.org/news/article/el-aborto-es-el-tema-electoral-mas-importante-para-las-mujeres-jovenes-segun-una-encuesta/,5,no,Nonprofit
kffhealthnews.org,https://kffhealthnews.org/news/article/el-aborto-es-el-tema-electoral-mas-importante-para-las-mujeres-jovenes-segun-una-encuesta/,5,no,Nonprofit
kffhealthnews.org,https://kffhealthnews.org/news/article/ohio-voto-a-favor-del-aborto-podrian-seguir-otros-11-estados-el-proximo-ano/,3,no,Nonprofit
kffhealthnews.org,https://kffhealthnews.org/news/article/ohio-voto-a-favor-del-aborto-podrian-seguir-otros-11-estados-el-proximo-ano/,3,no,Nonprofit
kffhealthnews.org,https://kffhealthnews.org/news/article/votantes-mas-motivados-para-ir-a-las-urnas-tras-prohibicion-del-aborto-revela-encuesta/,4,no,Nonprofit
kffhealthnews.org,https://kffhealthnews.org/news/article/votantes-mas-motivados-para-ir-a-las-urnas-tras-prohibicion-del-aborto-revela-encuesta/,4,no,Nonprofit
elections.ny.gov,https://elections.ny.gov/early-vote-mail-application-spanish,4,yes,Government
elections.ny.gov,https://elections.ny.gov/early-vote-mail-application-spanish,4,yes,Government
elections.ny.gov,https://elections.ny.gov/system/files/documents/2024/06/2024-spanish-absentee-ballot-application-primary-only.pdf,5,yes,Government
elections.ny.gov,https://elections.ny.gov/system/files/documents/2024/06/2024-spanish-absentee-ballot-application-primary-only.pdf,5,yes,Government
elections.ny.gov,https://elections.ny.gov/system/files/documents/2024/06/voteregform-span-fillable-2023.pdf,1,yes,Government
elections.ny.gov,https://elections.ny.gov/system/files/documents/2024/06/voteregform-span-fillable-2023.pdf,1,yes,Government
es.ocfelections.com,https://es.ocfelections.com/fri-09272024-0900-general-election-sample-ballots-now-available-orange-county-supervisor-elections,3,no,County
es.ocfelections.com,https://es.ocfelections.com/fri-09272024-0900-general-election-sample-ballots-now-available-orange-county-supervisor-elections,3,no,County
es.ocfelections.com,https://es.ocfelections.com/2024-election-candidates,4,no,County
es.ocfelections.com,https://es.ocfelections.com/2024-election-candidates,4,no,County
es.ocfelections.com,https://es.ocfelections.com/early-voting,3,no,County
es.ocfelections.com,https://es.ocfelections.com/early-voting,3,no,County
es.ocfelections.com,https://es.ocfelections.com/vote-by-mail,3,no,County
es.ocfelections.com,https://es.ocfelections.com/vote-by-mail,3,no,County
es.ocfelections.com,https://es.ocfelections.com/election-results-and-turnout,1,no,County
es.ocfelections.com,https://es.ocfelections.com/election-results-and-turnout,1,no,County
es.ocfelections.com,https://es.ocfelections.com/2024primary,2,no,County
es.ocfelections.com,https://es.ocfelections.com/2024primary,2,no,County
es.ocfelections.com,https://es.ocfelections.com/register-vote-or-update-registration,2,no,County
es.ocfelections.com,https://es.ocfelections.com/register-vote-or-update-registration,2,no,County
es.ocfelections.com,https://es.ocfelections.com/become-candidate,3,no,County
es.ocfelections.com,https://es.ocfelections.com/become-candidate,3,no,County
es.ocfelections.com,https://es.ocfelections.com/district-and-precinct-maps,1,no,County
es.ocfelections.com,https://es.ocfelections.com/district-and-precinct-maps,1,no,County
es.ocfelections.com,https://es.ocfelections.com/find-my-polling-place,2,no,County
es.ocfelections.com,https://es.ocfelections.com/find-my-polling-place,2,no,County
es.ocfelections.com,https://es.ocfelections.com/,1,no,County
es.ocfelections.com,https://es.ocfelections.com/,1,no,County
es.ocfelections.com,https://es.ocfelections.com/contact-us,1,no,County
es.ocfelections.com,https://es.ocfelections.com/contact-us,1,no,County
www.vozdeamerica.com,https://www.vozdeamerica.com/a/donde-estara-el-aborto-en-la-boleta-electoral-de-2024-en-eeuu/7742566.html,2,no,News
www.vozdeamerica.com,https://www.vozdeamerica.com/a/donde-estara-el-aborto-en-la-boleta-electoral-de-2024-en-eeuu/7742566.html,2,no,News
www.vozdeamerica.com,https://www.vozdeamerica.com/a/harris-y-trump-compiten-por-siete-estados-en-la-carrera-electoral-final/7829952.html,3,no,News
