Domain,Url,Url occurences,Common?
www.rtve.es,https://www.rtve.es/noticias/20241024/elecciones-eeuu-2024-allan-luchtman-historiador-cuesta-gobernar/16292215.shtml,5,no
www.rtve.es,https://www.rtve.es/noticias/20241026/washington-post-decide-no-respaldar-a-ningun-candidato-elecciones-presidenciales-eeuu-por-primera-vez-decadas/16304351.shtml,1,no
www.rtve.es,https://www.rtve.es/noticias/20241019/elecciones-estados-unidos-2024-cuando-quienes-candidatos-estados-claves/16284085.shtml,2,no
www.rtve.es,https://www.rtve.es/noticias/elecciones-estados-unidos,2,no
www.rtve.es,https://www.rtve.es/noticias/20240822/encuestas-elecciones-estados-unidos-kamala-harris-donald-trump/16223710.shtml,3,no
www.rtve.es,https://www.rtve.es/noticias/20241019/estados-unidos-elige-5-noviembre-a-su-proximo-presidente-fechas-clave-hasta-llegar-a-urnas/16292759.shtml,3,no
ine.mx,https://ine.mx/voto-y-elecciones/elecciones-2024/,8,no
ine.mx,https://ine.mx/actores-politicos/candidatos-independientes/,3,no
ine.mx,https://ine.mx/candidaturasindependientes/,3,no
ine.mx,https://ine.mx/actores-politicos/plataformas-electorales/,3,no
ine.mx,https://ine.mx/voto-y-elecciones/encuestas-electorales/,3,no
ine.mx,https://ine.mx/voto-y-elecciones/resultados-electorales/,3,no
ine.mx,https://ine.mx/,1,no
ine.mx,https://ine.mx/voto-y-elecciones/elecciones-2024/candidatas-y-candidatos-locales-2024/,3,no
ine.mx,https://ine.mx/voto-y-elecciones/urna-electronica/,3,no
ine.mx,https://ine.mx/preguntas-para-el-debate-presidencial/,1,no
www.servel.cl,https://www.servel.cl/partidos-politicos/requisitos-e-inhabilidades-candidatos-independientes/,3,no
www.servel.cl,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/,2,no
www.servel.cl,https://www.servel.cl/solicitud-de-cambio-de-domicilio-electoral/,1,no
www.servel.cl,https://www.servel.cl/2024/10/01/conoce-a-tus-candidatos-para-las-elecciones-regionales-y-municipales-de-octubre/,3,no
www.servel.cl,https://www.servel.cl/campanas-electorales/,1,no
www.servel.cl,https://www.servel.cl/elecciones-2024/,2,no
