domain,count
vote411.org,13174
nytimes.com,9744
candidaturas.ine.mx,1359
vote.sos.ri.gov,2273
usa.gov,38214
vote.gov,15496
ocvote.gov,2022
bbc.com,6428
myvote.wi.gov,9873
headcount.org,2380
harrisvotes.com,10912
attorneygeneral.gov,550
publicgoodnews.com,414
calmatters.org,6896
latimes.com,2206
floridiansprotectingfreedom.com,854
vozdeamerica.com,2750
lavozarizona.com,347
telemundo.com,412
telemundowashingtondc.com,405
cronkitenews.azpbs.org,840
radiobilingue.org,134
es.wikipedia.org,10086
elmundo.es,1764
cnnespanol.cnn.com,8932
sbcountyelections.com,1358
dallasnews.com,1456
voteokeechobee.gov,950
whosontheballot.org,371
es-us.noticias.yahoo.com,1804
telemundochicago.com,579
brennancenter.org,3632
youtube.com,4677
washingtonpost.com,333
privatebank.jpmorgan.com,267
registertovote.ca.gov,274
votoextranjero.ine.mx,1534
registertovoteflorida.gov,154
pa.gov,1054
a860-gpp.nyc.gov,32
eac.gov,549
azcleanelections.gov,2405
votemosnc.com,69
elections.maricopa.gov,6404
elpais.com,7285
portal.stf.jus.br,291
local10.com,116
instagram.com,1499
stf.jus.br,288
agenciabrasil.ebc.com.br,176
apnews.com,1397
linguee.com,290
tureng.com,290
context.reverso.net,576
franklincountywa.gov,574
international.tse.jus.br,290
urnaelectoral.com,288
gymglish.com,268
ine.mx,5695
voterstatus.sos.ca.gov,1777
lavote.gov,2643
recorder.countyofventura.org,543
img.lpderecho.pe,285
countyofmonterey.gov,621
sdvote.com,835
tvazteca.com,285
elsoldeyakima.com,135
sil.gobernacion.gob.mx,291
te.gob.mx,1086
elections.virginia.gov,881
diputados.gob.mx,555
servel.cl,1892
elections.sbcounty.gov,1739
dallascountyvotes.org,2487
sos.wa.gov,1530
lakecountyil.gov,433
plataformaelectoral.jne.gob.pe,834
quienmerepresentapr.com,192
conoceles.ieem.org.mx,287
conoceles.ieepuebla.org.mx,127
france24.com,1402
interactives.dallasnews.com,825
bloomberg.com,590
realinstitutoelcano.org,1114
prep2024.ine.mx,368
vote.santaclaracounty.gov,552
es.stlouiscountymo.gov,256
es.ocfelections.com,3486
clarkcountynv.gov,1072
countyofcolusaca.gov,106
aceproject.org,291
wordreference.com,185
openelectiondata.net,291
online-translator.com,206
caib.es,289
elections.cdn.sos.ca.gov,606
amazon.com,691
wkar.org,309
plannedparenthood.org,1014
amnesty.org,1083
hayderecho.com,253
corteidh.or.cr,435
resultadosconvzla.com,665
registraduria.gov.co,932
computos2024.ine.mx,578
cne.gob.ec,331
infoelectoral.interior.gob.es,303
voting.democracy.works,116
spanish.nycvotes.org,2042
newhavenct.gov,3
elections.ny.gov,591
voteosceola.gov,815
partidorepublicanodechile.cl,271
sacbee.com,293
vig.cdn.sos.ca.gov,188
houstonchronicle.com,609
newjerseymonitor.com,582
dw.com,137
infobae.com,1083
contracostavote.gov,732
sos.ca.gov,6410
rivco.org,104
votoextranjero.mx,3271
ubicatucasilla.ine.mx,377
votetexas.gov,8417
sos.state.tx.us,2315
miamidade.gov,1234
allvotingislocal.org,923
elnuevodia.com,458
telemundopr.com,70
elperuano.pe,182
insightcrime.org,282
cooperativa.cl,3
scvotes.gov,310
greatschools.org,290
support.google.com,640
google.com,290
univision.com,1107
play.google.com,590
dondeestoyahorita.com,290
google.com.pe,290
onlinecompass.net,8
txdot.gov,523
lanacion.com.ar,1632
elfinanciero.com.mx,288
rtve.es,1015
democracync.org,128
es.epcountyvotes.com,4604
sos.ks.gov,438
votecolumbia.com,615
senate.gov,1070
senate.texas.gov,705
sd39.senate.ca.gov,76
pasenate.com,257
sec.state.ma.us,473
aarp.org,443
accesolatino.org,189
skyhinews.com,230
childrenscolorado.org,62
gop.gov,291
camara.leg.br,300
camara.gov.co,188
houserepublicans.wa.gov,89
www25.senado.leg.br,317
mccaininstitute.org,381
pt.wikipedia.org,41
laist.com,389
nj.gov,444
voterhelpdesk.usvotefoundation.org,2311
repositorio.uchile.cl,261
nycvotes.org,455
us.as.com,752
files.harrisvotes.com,380
bexar.org,432
peachtreecornersga.gov,560
wisconsinwatch.org,11
usccb.org,451
sf.gov,361
flaglerelections.com,446
sv.usembassy.gov,98
pagepersonnel.es,249
portland.gov,7
seiu775.org,293
bloomberglinea.com,59
larepublica.co,62
peoplesalliancepac.org,263
nacion.com,58
diariolasamericas.com,161
lancastercountypa.gov,544
vote.nyc,577
fvap.gov,292
ontariocountyny.gov,230
memoria.fahce.unlp.edu.ar,152
woahstore.com,280
olaazulsw.com,282
bleach.fandom.com,253
cristalinaswimwear.com,285
bombingbubble.com,289
kariella.com,288
modernshowroom.com,291
it.pinterest.com,103
facebook.com,1166
sos.state.co.us,843
repositoriodocumental.ine.mx,648
portalanterior.ine.mx,642
porquienvoto.org.gt,558
twitter.com,303
es.statista.com,327
ctmirror.org,14
moe.org.co,159
centralelectoral.ine.mx,496
learn.arcgis.com,177
essexboardofelections.com,254
printelect.com,101
browardvotes.gov,750
registration.elections.myflorida.com,563
doh.wa.gov,281
aclu.org,280
nyc.gov,79
abortionfinder.org,129
telemundo51.com,475
plannedparenthoodaction.org,650
kktv.com,89
padilla.senate.gov,290
postalmuseum.si.edu,264
parlamento.gub.uy,281
spotlightpa.org,392
www3.diputados.gob.mx,275
telemundo62.com,447
manatal.com,291
blog.truora.com,291
coalitionfortheicc.org,291
fundacionmohme.org,291
tusdatos.co,287
recruitcrm.io,321
globalwork.co,101
illinoislegalaid.org,176
busqueda.com.uy,165
gob.cl,367
votocatolico.mx,291
listindiario.com,432
noticiassin.com,280
acento.com.do,285
elnacional.com.do,134
naleo.org,70
juntaelectoralcentral.es,261
elecciones2024.jce.gob.do,1059
ww2.ceepur.org,331
results.elections.europa.eu,234
electioncenter.org,284
elections.maryland.gov,292
washoedems.org,292
hillsboroughcountydemocrats.org,292
jpost.com,421
sfchronicle.com,175
guides.vote,558
coalicionporelevangelio.org,157
uploads.rov.sbcounty.gov,232
storageccec.blob.core.usgovcloudapi.net,290
spanish-ova.elections.il.gov,56
votebradfordfl.gov,694
kqed.org,653
mercedsunstar.com,177
opd.org.do,294
diariolibre.com,304
elnuevodiario.com.do,258
latercera.com,111
telemundo47.com,24
ucnj.org,37
ambito.com,114
usip.org,278
publications.iadb.org,183
swissinfo.ch,131
x.com,168
afj.org,176
ny1noticias.com,123
news.wttw.com,15
co.midland.tx.us,696
makeaplantovote.com,649
chicago.suntimes.com,31
cnn.com,279
npr.org,102
reuters.com,283
fides.org,295
wuwm.com,19
kffhealthnews.org,642
alligator.org,275
sede.ine.gob.es,197
ondacero.es,263
m.youtube.com,301
eldiario.es,384
animalpolitico.com,307
content.govdelivery.com,15
enkoll.com,167
www-media.floridabar.org,38
city.milwaukee.gov,15
conectaarizona.com,9
ncdp.org,279
kathleencamara.com,268
house.gov,446
propublica.org,285
velazquez.house.gov,20
redistricting.lls.edu,100
electionsource.com,276
gt.ebay.com,290
etsy.com,294
listado.mercadolibre.cl,290
lacaja.com.pe,250
cajaforense.com,107
wfla.com,471
sites.omniballot.us,195
prensa-latina.cu,152
elobservador.com.uy,394
theconversation.com,114
fanpagekarma.com,12
suffolkcountyny.gov,29
dems.gov,131
ktvz.com,216
mdcatholic.org,257
diariodigitalstl.com,275
books.openedition.org,278
revistas.udem.edu.co,224
scielo.org.mx,313
scielo.sld.cu,289
www2.congreso.gob.pe,291
mysu.org.uy,290
unab.edu.co,291
core.ac.uk,288
saludpublica.mx,289
ipsos.com,327
scielo.br,270
toolkit.capta.org,38
es.scribd.com,130
dondeestoyahora.com,82
uk.isidewith.com,200
azluminaria.org,500
cne.gov.co,9
padron.gob.ar,16
portal.ct.gov,74
sos.nebraska.gov,180
votelevy.gov,339
bcn.cl,203
ieem.org.mx,296
electoral.gob.ar,287
iecm.mx,458
conoceles-coahuila.org,176
carbonbrief.org,232
sabervotar.mx,277
20minutos.es,155
clarin.com,180
help.x.com,258
voteidaho.gov,257
abortionfunds.org,35
diariodigital.com.do,16
texas.gov,1280
tompkinscountyny.gov,26
telemundo20.com,57
listado.mercadolibre.com.co,156
pressgallery.house.gov,121
computos.impepac.mx,34
prepre.udp.cl,138
kingcounty.gov,359
sos.state.mn.us,45
argentina.gob.ar,156
cms9files.revize.com,397
cityofboston.gov,272
picturingtheamericas.org,271
hamariweb.com,263
condadovanderbilt.com,134
newswire.ca,263
politico.com,115
peoriaaz.gov,57
atrevia.com,149
orlamining.com,165
redcross.org,133
michigan.gov,46
mnvotes.sos.mn.gov,30
my.lwv.org,108
guttenbergnj.org,18
hispanicfederation.org,112
consulta.servel.cl,41
app02.cne.gob.ec,197
ieecolima.org.mx,31
conoceles.iepcjalisco.mx,1
azcentral.com,219
hidalgocounty.us,185
leg.colorado.gov,338
icims.com,22
eleccionestdf.justierradelfuego.gov.ar,26
springfield-ma.gov,41
metro.pr,21
m.interglot.com,12
salutsexual.sidastudi.org,106
stock.adobe.com,104
shutterstock.com,7
milwaukeenns.org,4
urdupoint.com,112
lasexta.com,4
abogado.com,168
ieepuebla.org.mx,69
telemundonuevainglaterra.com,9
equipos.com.uy,43
correa.house.gov,52
jce.gob.do,94
aciprensa.com,279
partidoceleste.org,159
espaillat.house.gov,3
identidadlatina.com,1
ctinsider.com,84
cepc.gob.es,44
votewalton.gov,50
njspotlightnews.org,11
barrons.com,240
abc7.com,118
tiktok.com,39
cdn.com.do,61
apps.azsos.gov,61
easthartfordct.gov,1
opcionesescolares.com,16
modbee.com,16
intellectual-property-helpdesk.ec.europa.eu,96
laopinion.co,4
mitofsky.mx,76
tse.go.cr,16
fresnobee.com,186
es.ag.ny.gov,75
democrats.senate.gov,80
centrecountyvotes.gov,31
greenbaywi.gov,2
hendryelections.org,28
colombiaagil.gov.co,90
vote.org,52
britannica.com,3
wola.org,79
levittownschools.com,89
nielsen.com,48
imdb.com,18
congreso.gob.gt,8
blacktrust.net,18
mariodiazbalart.house.gov,5
spanishdict.com,6
collinsdictionary.com,32
telemundo52.com,95
school.olaparish.net,31
chalkbeat.org,13
missionlocal.org,172
coloradosos.gov,51
countyofnapa.org,11
aclunc.org,28
kpbs.org,5
scottpeters.house.gov,1
congresobc.gob.mx,2
copalmn.org,216
oavotes.org,192
9news.com,13
support.zoom.com,27
phoenix.gov,46
fairfaxvotes.org,22
engage.buncombecounty.org,2
ojo-publico.com,17
arizona.vote,7
glendaleaz.com,3
sonomacounty.ca.gov,3
sandiegouniontribune.com,84
sanluisobispo.com,60
rtl.org,22
cpr.org,7
servicios.cajaabogados.org.ar,23
ww2.kqed.org,143
votemadera.com,16
www12.senado.leg.br,85
voteinfo.net,23
aclusocal.org,25
lofgren.house.gov,21
benitolink.com,15
senado.es,27
trends.google.com,172
heausa.org,2
telesurtv.net,2
elmostrador.cl,35
conservationco.org,1
cityofelcentro.org,8
soundcloud.com,105
capradio.org,29
help.surveymonkey.com,49
portal.factum.uy,9
sfpl.org,2
fresnocountyca.gov,8
camara.cl,3
judiciary.house.gov,95
aapa.org,5
olasanbernardino.org,90
thenevadaindependent.com,3
pandape.com,2
mpp.org.uy,82
ncbi.nlm.nih.gov,74
api.realfile.rtsclients.com,78
consejodeestado.gov.co,97
abortion.ca.gov,3
telemundoareadelabahia.com,1
ocfelections.com,6
democrats.org,28
eldoradocounty.ca.gov,1
sd02.senate.ca.gov,157
sd15.senate.ca.gov,24
kcra.com,1
nass.org,3
eyboricua.com,13
mybackgroundcheck.sterlingcheck.com,18
weld.gov,6
epc-assets.elpasoco.com,17
ceey.org.mx,22
lainformacion.com.do,8
sddemocrats.org,5
es.euronews.com,5
bouldercolorado.gov,1
latinus.us,10
